Frequency ratio for turciphertext 3 grams:
çeg 1.34	 Occurrences:44
aec 0.15	 Occurrences:5
cyl 0.15	 Occurrences:5
cfş 0.15	 Occurrences:5
cbı 0.15	 Occurrences:5
peg 0.15	 Occurrences:5
kec 0.15	 Occurrences:5
çez 0.15	 Occurrences:5
ezl 0.15	 Occurrences:5
gvç 0.15	 Occurrences:5
egy 0.15	 Occurrences:5
pmr 0.15	 Occurrences:5
mrğ 0.15	 Occurrences:5
hçe 0.15	 Occurrences:5
bkm 0.15	 Occurrences:5
ğvç 0.15	 Occurrences:5
ymf 0.15	 Occurrences:5
tmu 0.15	 Occurrences:5
ubç 0.15	 Occurrences:5
oeh 0.15	 Occurrences:5
/1e 0.12	 Occurrences:4
ece 0.12	 Occurrences:4
ceö 0.12	 Occurrences:4
gmj 0.12	 Occurrences:4
mmt 0.12	 Occurrences:4
cye 0.12	 Occurrences:4
64s 0.12	 Occurrences:4
zyb 0.12	 Occurrences:4
lçf 0.12	 Occurrences:4
öte 0.12	 Occurrences:4
cym 0.12	 Occurrences:4
ymt 0.12	 Occurrences:4
bgt 0.12	 Occurrences:4
gef 0.12	 Occurrences:4
efm 0.12	 Occurrences:4
lcv 0.12	 Occurrences:4
gsv 0.12	 Occurrences:4
svb 0.12	 Occurrences:4
vbz 0.12	 Occurrences:4
mfç 0.12	 Occurrences:4
fçm 0.12	 Occurrences:4
tbç 0.12	 Occurrences:4
jbö 0.12	 Occurrences:4
böt 0.12	 Occurrences:4
ötm 0.12	 Occurrences:4
csb 0.12	 Occurrences:4
cyb 0.12	 Occurrences:4
geö 0.12	 Occurrences:4
öce 0.12	 Occurrences:4
mye 0.12	 Occurrences:4
bgf 0.12	 Occurrences:4
mfm 0.12	 Occurrences:4
çef 0.12	 Occurrences:4
mcf 0.12	 Occurrences:4
lsb 0.12	 Occurrences:4
boy 0.12	 Occurrences:4
oyb 0.12	 Occurrences:4
ybk 0.12	 Occurrences:4
keı 0.12	 Occurrences:4
eıp 0.12	 Occurrences:4
ıpe 0.12	 Occurrences:4
gtl 0.12	 Occurrences:4
zlc 0.12	 Occurrences:4
svc 0.12	 Occurrences:4
vce 0.12	 Occurrences:4
ecf 0.12	 Occurrences:4
kea 0.12	 Occurrences:4
keğ 0.12	 Occurrences:4
lkç 0.12	 Occurrences:4
kçe 0.12	 Occurrences:4
jşg 0.12	 Occurrences:4
mdç 0.12	 Occurrences:4
vçf 0.12	 Occurrences:4
olh 0.12	 Occurrences:4
çlt 0.12	 Occurrences:4
mgn 0.12	 Occurrences:4
gnd 0.12	 Occurrences:4
ndg 0.12	 Occurrences:4
dgf 0.12	 Occurrences:4
eöj 0.12	 Occurrences:4
ğvp 0.12	 Occurrences:4
vpm 0.12	 Occurrences:4
ceg 0.12	 Occurrences:4
^{2 0.12	 Occurrences:4
eyl 0.12	 Occurrences:4
ylö 0.12	 Occurrences:4
jet 0.12	 Occurrences:4
gcv 0.12	 Occurrences:4
ehç 0.12	 Occurrences:4
eös 0.12	 Occurrences:4
öeç 0.12	 Occurrences:4
mgc 0.12	 Occurrences:4
öcv 0.12	 Occurrences:4
lfl 0.12	 Occurrences:4
yşg 0.12	 Occurrences:4
şgc 0.12	 Occurrences:4
gcb 0.12	 Occurrences:4
öym 0.12	 Occurrences:4
abo 0.12	 Occurrences:4
boe 0.12	 Occurrences:4
jym 0.09	 Occurrences:3
eöd 0.09	 Occurrences:3
etl 0.09	 Occurrences:3
bcr 0.09	 Occurrences:3
crb 0.09	 Occurrences:3
rbh 0.09	 Occurrences:3
bhç 0.09	 Occurrences:3
hçb 0.09	 Occurrences:3
öeo 0.09	 Occurrences:3
eoy 0.09	 Occurrences:3
oye 0.09	 Occurrences:3
ösv 0.09	 Occurrences:3
kmg 0.09	 Occurrences:3
mgç 0.09	 Occurrences:3
çmz 0.09	 Occurrences:3
çfm 0.09	 Occurrences:3
ö64 0.09	 Occurrences:3
cmh 0.09	 Occurrences:3
çlz 0.09	 Occurrences:3
mcç 0.09	 Occurrences:3
eoe 0.09	 Occurrences:3
öge 0.09	 Occurrences:3
bdç 0.09	 Occurrences:3
nge 0.09	 Occurrences:3
jek 0.09	 Occurrences:3
lgs 0.09	 Occurrences:3
çmö 0.09	 Occurrences:3
mce 0.09	 Occurrences:3
eçe 0.09	 Occurrences:3
dgb 0.09	 Occurrences:3
gby 0.09	 Occurrences:3
ecc 0.09	 Occurrences:3
ccm 0.09	 Occurrences:3
amc 0.09	 Occurrences:3
bgo 0.09	 Occurrences:3
gom 0.09	 Occurrences:3
omg 0.09	 Occurrences:3
mge 0.09	 Occurrences:3
böü 0.09	 Occurrences:3
üöa 0.09	 Occurrences:3
öam 0.09	 Occurrences:3
ese 0.09	 Occurrences:3
ecv 0.09	 Occurrences:3
yeu 0.09	 Occurrences:3
ulr 0.09	 Occurrences:3
gfm 0.09	 Occurrences:3
^{6 0.09	 Occurrences:3
{64 0.09	 Occurrences:3
/1z 0.09	 Occurrences:3
1zb 0.09	 Occurrences:3
mcb 0.09	 Occurrences:3
çek 0.09	 Occurrences:3
jlö 0.09	 Occurrences:3
ulö 0.09	 Occurrences:3
ölö 0.09	 Occurrences:3
övı 0.09	 Occurrences:3
mgt 0.09	 Occurrences:3
gtm 0.09	 Occurrences:3
tmğ 0.09	 Occurrences:3
mğd 0.09	 Occurrences:3
ğdç 0.09	 Occurrences:3
ebo 0.09	 Occurrences:3
lc2 0.09	 Occurrences:3
c2^ 0.09	 Occurrences:3
ges 0.09	 Occurrences:3
aeu 0.09	 Occurrences:3
örm 0.09	 Occurrences:3
gld 0.09	 Occurrences:3
ldç 0.09	 Occurrences:3
yfe 0.09	 Occurrences:3
tmd 0.09	 Occurrences:3
böe 0.09	 Occurrences:3
lhç 0.09	 Occurrences:3
eöf 0.09	 Occurrences:3
mcg 0.09	 Occurrences:3
cge 0.09	 Occurrences:3
eöc 0.09	 Occurrences:3
ğv) 0.09	 Occurrences:3
bub 0.09	 Occurrences:3
ubf 0.09	 Occurrences:3
bfb 0.09	 Occurrences:3
fbh 0.09	 Occurrences:3
fbz 0.09	 Occurrences:3
bge 0.09	 Occurrences:3
cey 0.09	 Occurrences:3
eıl 0.09	 Occurrences:3
ılc 0.09	 Occurrences:3
ekt 0.09	 Occurrences:3
kte 0.09	 Occurrences:3
tma 0.09	 Occurrences:3
löd 0.09	 Occurrences:3
ğvk 0.09	 Occurrences:3
ösb 0.09	 Occurrences:3
bgj 0.09	 Occurrences:3
jey 0.09	 Occurrences:3
gcm 0.09	 Occurrences:3
böc 0.09	 Occurrences:3
jvğ 0.09	 Occurrences:3
vğm 0.09	 Occurrences:3
mga 0.09	 Occurrences:3
gad 0.09	 Occurrences:3
adf 0.09	 Occurrences:3
dfğ 0.09	 Occurrences:3
fğv 0.09	 Occurrences:3
ğvy 0.09	 Occurrences:3
vym 0.09	 Occurrences:3
rşa 0.09	 Occurrences:3
şaş 0.09	 Occurrences:3
fbı 0.09	 Occurrences:3
gyş 0.09	 Occurrences:3
cbk 0.09	 Occurrences:3
kmt 0.09	 Occurrences:3
bhb 0.09	 Occurrences:3
tdö 0.09	 Occurrences:3
döe 0.09	 Occurrences:3
öeö 0.09	 Occurrences:3
cmö 0.09	 Occurrences:3
tlu 0.09	 Occurrences:3
lul 0.09	 Occurrences:3
,sv 0.09	 Occurrences:3
egh 0.09	 Occurrences:3
eçm 0.09	 Occurrences:3
euç 0.09	 Occurrences:3
rüö 0.09	 Occurrences:3
üöş 0.09	 Occurrences:3
öşç 0.09	 Occurrences:3
şçç 0.09	 Occurrences:3
ççş 0.09	 Occurrences:3
1ec 0.06	 Occurrences:2
eöz 0.06	 Occurrences:2
özb 0.06	 Occurrences:2
vhv 0.06	 Occurrences:2
hvö 0.06	 Occurrences:2
,22 0.06	 Occurrences:2
egn 0.06	 Occurrences:2
bny 0.06	 Occurrences:2
bjy 0.06	 Occurrences:2
yet 0.06	 Occurrences:2
gek 0.06	 Occurrences:2
ekm 0.06	 Occurrences:2
mzy 0.06	 Occurrences:2
bgb 0.06	 Occurrences:2
gbç 0.06	 Occurrences:2
mhı 0.06	 Occurrences:2
hıe 0.06	 Occurrences:2
ıeç 0.06	 Occurrences:2
lzy 0.06	 Occurrences:2
zyl 0.06	 Occurrences:2
lgl 0.06	 Occurrences:2
glç 0.06	 Occurrences:2
öva 0.06	 Occurrences:2
vav 0.06	 Occurrences:2
avö 0.06	 Occurrences:2
vöt 0.06	 Occurrences:2
mgı 0.06	 Occurrences:2
gım 0.06	 Occurrences:2
ımc 0.06	 Occurrences:2
cçm 0.06	 Occurrences:2
oej 0.06	 Occurrences:2
ejd 0.06	 Occurrences:2
dög 0.06	 Occurrences:2
22s 0.06	 Occurrences:2
2sb 0.06	 Occurrences:2
çbd 0.06	 Occurrences:2
keö 0.06	 Occurrences:2
eön 0.06	 Occurrences:2
öng 0.06	 Occurrences:2
mje 0.06	 Occurrences:2
jlc 0.06	 Occurrences:2
cçn 0.06	 Occurrences:2
gjd 0.06	 Occurrences:2
emç 0.06	 Occurrences:2
öpm 0.06	 Occurrences:2
löb 0.06	 Occurrences:2
tmc 0.06	 Occurrences:2
ceç 0.06	 Occurrences:2
bcs 0.06	 Occurrences:2
bçr 0.06	 Occurrences:2
çrb 0.06	 Occurrences:2
jbk 0.06	 Occurrences:2
kdö 0.06	 Occurrences:2
feg 0.06	 Occurrences:2
öüö 0.06	 Occurrences:2
amt 0.06	 Occurrences:2
möc 0.06	 Occurrences:2
ces 0.06	 Occurrences:2
sec 0.06	 Occurrences:2
cvp 0.06	 Occurrences:2
vpp 0.06	 Occurrences:2
ppm 0.06	 Occurrences:2
pmy 0.06	 Occurrences:2
yey 0.06	 Occurrences:2
22} 0.06	 Occurrences:2
}=2 0.06	 Occurrences:2
gmç 0.06	 Occurrences:2
brm 0.06	 Occurrences:2
bgm 0.06	 Occurrences:2
gma 0.06	 Occurrences:2
amu 0.06	 Occurrences:2
löc 0.06	 Occurrences:2
bct 0.06	 Occurrences:2
fçe 0.06	 Occurrences:2
cte 0.06	 Occurrences:2
cdç 0.06	 Occurrences:2
gsb 0.06	 Occurrences:2
mö, 0.06	 Occurrences:2
tec 0.06	 Occurrences:2
mmy 0.06	 Occurrences:2
gce 0.06	 Occurrences:2
vıç 0.06	 Occurrences:2
ıçe 0.06	 Occurrences:2
bgk 0.06	 Occurrences:2
114 0.06	 Occurrences:2
64} 0.06	 Occurrences:2
öeb 0.06	 Occurrences:2
esk 0.06	 Occurrences:2
sky 0.06	 Occurrences:2
kym 0.06	 Occurrences:2
egs 0.06	 Occurrences:2
sşk 0.06	 Occurrences:2
şkş 0.06	 Occurrences:2
kşc 0.06	 Occurrences:2
şcs 0.06	 Occurrences:2
dkv 0.06	 Occurrences:2
ebö 0.06	 Occurrences:2
lhe 0.06	 Occurrences:2
mör 0.06	 Occurrences:2
bgc 0.06	 Occurrences:2
cfm 0.06	 Occurrences:2
ömö 0.06	 Occurrences:2
möe 0.06	 Occurrences:2
he5 0.06	 Occurrences:2
1eç 0.06	 Occurrences:2
eçr 0.06	 Occurrences:2
çrd 0.06	 Occurrences:2
rdg 0.06	 Occurrences:2
byf 0.06	 Occurrences:2
myb 0.06	 Occurrences:2
ybç 0.06	 Occurrences:2
gtd 0.06	 Occurrences:2
tdç 0.06	 Occurrences:2
jlk 0.06	 Occurrences:2
çey 0.06	 Occurrences:2
lje 0.06	 Occurrences:2
gmt 0.06	 Occurrences:2
jbf 0.06	 Occurrences:2
bfş 0.06	 Occurrences:2
hçl 0.06	 Occurrences:2
zmc 0.06	 Occurrences:2
cbç 0.06	 Occurrences:2
öfe 0.06	 Occurrences:2
ltl 0.06	 Occurrences:2
lge 0.06	 Occurrences:2
ge5 0.06	 Occurrences:2
bğm 0.06	 Occurrences:2
pmm 0.06	 Occurrences:2
mmc 0.06	 Occurrences:2
gyç 0.06	 Occurrences:2
yçe 0.06	 Occurrences:2
(rğ 0.06	 Occurrences:2
ecm 0.06	 Occurrences:2
cmç 0.06	 Occurrences:2
fmğ 0.06	 Occurrences:2
mğm 0.06	 Occurrences:2
öjç 0.06	 Occurrences:2
jçe 0.06	 Occurrences:2
gly 0.06	 Occurrences:2
mrü 0.06	 Occurrences:2
çfb 0.06	 Occurrences:2
bzy 0.06	 Occurrences:2
öbö 0.06	 Occurrences:2
böa 0.06	 Occurrences:2
öağ 0.06	 Occurrences:2
ğvt 0.06	 Occurrences:2
vte 0.06	 Occurrences:2
mfa 0.06	 Occurrences:2
fab 0.06	 Occurrences:2
v)2 0.06	 Occurrences:2
)2^ 0.06	 Occurrences:2
mçb 0.06	 Occurrences:2
ecs 0.06	 Occurrences:2
csv 0.06	 Occurrences:2
gne 0.06	 Occurrences:2
{21 0.06	 Occurrences:2
21} 0.06	 Occurrences:2
öbk 0.06	 Occurrences:2
böj 0.06	 Occurrences:2
öje 0.06	 Occurrences:2
egc 0.06	 Occurrences:2
ec1 0.06	 Occurrences:2
c1e 0.06	 Occurrences:2
1ek 0.06	 Occurrences:2
tey 0.06	 Occurrences:2
vke 0.06	 Occurrences:2
gje 0.06	 Occurrences:2
öbj 0.06	 Occurrences:2
bjm 0.06	 Occurrences:2
jmk 0.06	 Occurrences:2
mke 0.06	 Occurrences:2
vze 0.06	 Occurrences:2
zeö 0.06	 Occurrences:2
eöy 0.06	 Occurrences:2
ltm 0.06	 Occurrences:2
cmj 0.06	 Occurrences:2
flö 0.06	 Occurrences:2
öee 0.06	 Occurrences:2
eeı 0.06	 Occurrences:2
lör 0.06	 Occurrences:2
çes 0.06	 Occurrences:2
bçb 0.06	 Occurrences:2
çbg 0.06	 Occurrences:2
omf 0.06	 Occurrences:2
gağ 0.06	 Occurrences:2
tmf 0.06	 Occurrences:2
fmp 0.06	 Occurrences:2
mpa 0.06	 Occurrences:2
pav 0.06	 Occurrences:2
avy 0.06	 Occurrences:2
vyt 0.06	 Occurrences:2
ytm 0.06	 Occurrences:2
tms 0.06	 Occurrences:2
msv 0.06	 Occurrences:2
tbu 0.06	 Occurrences:2
hce 0.06	 Occurrences:2
glk 0.06	 Occurrences:2
mgy 0.06	 Occurrences:2
bgr 0.06	 Occurrences:2
gbc 0.06	 Occurrences:2
,fm 0.06	 Occurrences:2
lçt 0.06	 Occurrences:2
çtl 0.06	 Occurrences:2
löt 0.06	 Occurrences:2
e,s 0.06	 Occurrences:2
nğr 0.06	 Occurrences:2
ğre 0.06	 Occurrences:2
reç 0.06	 Occurrences:2
gbk 0.06	 Occurrences:2
eje 0.06	 Occurrences:2
jeu 0.06	 Occurrences:2
uçe 0.06	 Occurrences:2
tee 0.06	 Occurrences:2
ee5 0.06	 Occurrences:2
öıd 0.06	 Occurrences:2
ıdc 0.06	 Occurrences:2
çee 0.06	 Occurrences:2
bör 0.06	 Occurrences:2
küö 0.06	 Occurrences:2
üöy 0.06	 Occurrences:2
öüh 0.06	 Occurrences:2
ühm 0.06	 Occurrences:2
hmç 0.06	 Occurrences:2
jla 0.06	 Occurrences:2
laç 0.06	 Occurrences:2
ec: 0.06	 Occurrences:2
c:s 0.06	 Occurrences:2
:sv 0.06	 Occurrences:2
mjm 0.06	 Occurrences:2
umg 0.06	 Occurrences:2
yeö 0.06	 Occurrences:2
egj 0.06	 Occurrences:2
sva 0.06	 Occurrences:2
vab 0.06	 Occurrences:2
fbö 0.06	 Occurrences:2
ömt 0.06	 Occurrences:2
msb 0.06	 Occurrences:2
ömy 0.06	 Occurrences:2
flz 0.06	 Occurrences:2
örü 0.06	 Occurrences:2
ğgd 0.06	 Occurrences:2
gdi 0.06	 Occurrences:2
dim 0.06	 Occurrences:2
çmy 0.06	 Occurrences:2
lrü 0.06	 Occurrences:2
eğl 0.06	 Occurrences:2
ğlç 0.06	 Occurrences:2
şfş 0.06	 Occurrences:2
fşh 0.06	 Occurrences:2
çma 0.06	 Occurrences:2
mfr 0.06	 Occurrences:2
frş 0.06	 Occurrences:2
möb 0.06	 Occurrences:2
jbv 0.03	 Occurrences:1
bvh 0.03	 Occurrences:1
vöç 0.03	 Occurrences:1
öçv 0.03	 Occurrences:1
çvc 0.03	 Occurrences:1
vcç 0.03	 Occurrences:1
gl1 0.03	 Occurrences:1
l19 0.03	 Occurrences:1
19, 0.03	 Occurrences:1
9,2 0.03	 Occurrences:1
22p 0.03	 Occurrences:1
2pm 0.03	 Occurrences:1
pm2 0.03	 Occurrences:1
m23 0.03	 Occurrences:1
23d 0.03	 Occurrences:1
3dç 0.03	 Occurrences:1
eö3 0.03	 Occurrences:1
ö3e 0.03	 Occurrences:1
3et 0.03	 Occurrences:1
tmy 0.03	 Occurrences:1
myç 0.03	 Occurrences:1
yçn 0.03	 Occurrences:1
jg( 0.03	 Occurrences:1
g(ç 0.03	 Occurrences:1
(çb 0.03	 Occurrences:1
çbö 0.03	 Occurrences:1
öme 0.03	 Occurrences:1
meg 0.03	 Occurrences:1
gnm 0.03	 Occurrences:1
nmm 0.03	 Occurrences:1
mts 0.03	 Occurrences:1
tse 0.03	 Occurrences:1
sea 0.03	 Occurrences:1
eac 0.03	 Occurrences:1
acj 0.03	 Occurrences:1
cjo 0.03	 Occurrences:1
job 0.03	 Occurrences:1
obn 0.03	 Occurrences:1
nyg 0.03	 Occurrences:1
gmr 0.03	 Occurrences:1
mrb 0.03	 Occurrences:1
rbj 0.03	 Occurrences:1
mg) 0.03	 Occurrences:1
g)t 0.03	 Occurrences:1
)te 0.03	 Occurrences:1
vzf 0.03	 Occurrences:1
zfe 0.03	 Occurrences:1
lg6 0.03	 Occurrences:1
g64 0.03	 Occurrences:1
çbe 0.03	 Occurrences:1
beö 0.03	 Occurrences:1
lös 0.03	 Occurrences:1
svç 0.03	 Occurrences:1
vçn 0.03	 Occurrences:1
gçm 0.03	 Occurrences:1
jb, 0.03	 Occurrences:1
b,ç 0.03	 Occurrences:1
,çn 0.03	 Occurrences:1
lö6 0.03	 Occurrences:1
64c 0.03	 Occurrences:1
4cm 0.03	 Occurrences:1
jlj 0.03	 Occurrences:1
ljd 0.03	 Occurrences:1
ter 0.03	 Occurrences:1
erm 0.03	 Occurrences:1
mzf 0.03	 Occurrences:1
zfm 0.03	 Occurrences:1
ge2 0.03	 Occurrences:1
e22 0.03	 Occurrences:1
eg2 0.03	 Occurrences:1
g22 0.03	 Occurrences:1
22c 0.03	 Occurrences:1
2cm 0.03	 Occurrences:1
mgj 0.03	 Occurrences:1
tem 0.03	 Occurrences:1
möp 0.03	 Occurrences:1
pmç 0.03	 Occurrences:1
mçn 0.03	 Occurrences:1
öbı 0.03	 Occurrences:1
bım 0.03	 Occurrences:1
ımg 0.03	 Occurrences:1
gbj 0.03	 Occurrences:1
bjb 0.03	 Occurrences:1
eö6 0.03	 Occurrences:1
rb, 0.03	 Occurrences:1
b,f 0.03	 Occurrences:1
,fe 0.03	 Occurrences:1
fei 0.03	 Occurrences:1
eid 0.03	 Occurrences:1
idg 0.03	 Occurrences:1
byk 0.03	 Occurrences:1
ykn 0.03	 Occurrences:1
knd 0.03	 Occurrences:1
ndö 0.03	 Occurrences:1
döc 0.03	 Occurrences:1
öcj 0.03	 Occurrences:1
cjb 0.03	 Occurrences:1
bkd 0.03	 Occurrences:1
övc 0.03	 Occurrences:1
vcv 0.03	 Occurrences:1
mym 0.03	 Occurrences:1
yma 0.03	 Occurrences:1
egp 0.03	 Occurrences:1
gpm 0.03	 Occurrences:1
pmn 0.03	 Occurrences:1
mng 0.03	 Occurrences:1
fmö 0.03	 Occurrences:1
möv 0.03	 Occurrences:1
övf 0.03	 Occurrences:1
vfe 0.03	 Occurrences:1
gej 0.03	 Occurrences:1
lrm 0.03	 Occurrences:1
fm2 0.03	 Occurrences:1
m2^ 0.03	 Occurrences:1
64+ 0.03	 Occurrences:1
4+2 0.03	 Occurrences:1
+22 0.03	 Occurrences:1
2}= 0.03	 Occurrences:1
=2^ 0.03	 Occurrences:1
^{8 0.03	 Occurrences:1
{86 0.03	 Occurrences:1
86} 0.03	 Occurrences:1
6}e 0.03	 Occurrences:1
}e5 0.03	 Occurrences:1
fmb 0.03	 Occurrences:1
mbz 0.03	 Occurrences:1
fbr 0.03	 Occurrences:1
ubb 0.03	 Occurrences:1
bbı 0.03	 Occurrences:1
bö, 0.03	 Occurrences:1
ö,e 0.03	 Occurrences:1
,ey 0.03	 Occurrences:1
ulç 0.03	 Occurrences:1
lçn 0.03	 Occurrences:1
öcm 0.03	 Occurrences:1
fmt 0.03	 Occurrences:1
möü 0.03	 Occurrences:1
cb6 0.03	 Occurrences:1
b64 0.03	 Occurrences:1
ctv 0.03	 Occurrences:1
tvg 0.03	 Occurrences:1
gvf 0.03	 Occurrences:1
vfç 0.03	 Occurrences:1
öev 0.03	 Occurrences:1
evk 0.03	 Occurrences:1
vkr 0.03	 Occurrences:1
krv 0.03	 Occurrences:1
rvç 0.03	 Occurrences:1
ect 0.03	 Occurrences:1
oec 0.03	 Occurrences:1
ecd 0.03	 Occurrences:1
ekd 0.03	 Occurrences:1
kdç 0.03	 Occurrences:1
lgt 0.03	 Occurrences:1
gem 0.03	 Occurrences:1
mös 0.03	 Occurrences:1
sv6 0.03	 Occurrences:1
v64 0.03	 Occurrences:1
bcç 0.03	 Occurrences:1
jgs 0.03	 Occurrences:1
rbç 0.03	 Occurrences:1
ö,2 0.03	 Occurrences:1
ölt 0.03	 Occurrences:1
lte 0.03	 Occurrences:1
glm 0.03	 Occurrences:1
lmç 0.03	 Occurrences:1
lgc 0.03	 Occurrences:1
löj 0.03	 Occurrences:1
öjd 0.03	 Occurrences:1
öls 0.03	 Occurrences:1
gkm 0.03	 Occurrences:1
tmt 0.03	 Occurrences:1
bö6 0.03	 Occurrences:1
64* 0.03	 Occurrences:1
4*1 0.03	 Occurrences:1
*11 0.03	 Occurrences:1
14* 0.03	 Occurrences:1
4*2 0.03	 Occurrences:1
*2^ 0.03	 Occurrences:1
4}s 0.03	 Occurrences:1
}sb 0.03	 Occurrences:1
ctm 0.03	 Occurrences:1
fee 0.03	 Occurrences:1
eeç 0.03	 Occurrences:1
lg( 0.03	 Occurrences:1
g(k 0.03	 Occurrences:1
(ke 0.03	 Occurrences:1
^{3 0.03	 Occurrences:1
{34 0.03	 Occurrences:1
34} 0.03	 Occurrences:1
4}y 0.03	 Occurrences:1
}ys 0.03	 Occurrences:1
ys( 0.03	 Occurrences:1
s(y 0.03	 Occurrences:1
(ym 0.03	 Occurrences:1
ym) 0.03	 Occurrences:1
m)) 0.03	 Occurrences:1
))s 0.03	 Occurrences:1
)sv 0.03	 Occurrences:1
gsş 0.03	 Occurrences:1
bgy 0.03	 Occurrences:1
gye 0.03	 Occurrences:1
çdk 0.03	 Occurrences:1
kvt 0.03	 Occurrences:1
vtm 0.03	 Occurrences:1
ulb 0.03	 Occurrences:1
bög 0.03	 Occurrences:1
geb 0.03	 Occurrences:1
bös 0.03	 Occurrences:1
ösd 0.03	 Occurrences:1
sdW 0.03	 Occurrences:1
