Frequency ratio for turciphertext 2 grams:
çe 2.79	 Occurrences:92
la 0.12	 Occurrences:4
cg 0.12	 Occurrences:4
bu 0.12	 Occurrences:4
{2 0.12	 Occurrences:4
kt 0.12	 Occurrences:4
jm 0.12	 Occurrences:4
ms 0.12	 Occurrences:4
çş 0.12	 Occurrences:4
öş 0.12	 Occurrences:4
vh 0.09	 Occurrences:3
m2 0.09	 Occurrences:3
cj 0.09	 Occurrences:3
mz 0.09	 Occurrences:3
ö6 0.09	 Occurrences:3
mh 0.09	 Occurrences:3
gı 0.09	 Occurrences:3
ög 0.09	 Occurrences:3
bd 0.09	 Occurrences:3
ön 0.09	 Occurrences:3
,f 0.09	 Occurrences:3
go 0.09	 Occurrences:3
lr 0.09	 Occurrences:3
{6 0.09	 Occurrences:3
}= 0.09	 Occurrences:3
1z 0.09	 Occurrences:3
mb 0.09	 Occurrences:3
cd 0.09	 Occurrences:3
ğd 0.09	 Occurrences:3
4} 0.09	 Occurrences:3
c2 0.09	 Occurrences:3
şc 0.09	 Occurrences:3
ld 0.09	 Occurrences:3
dt 0.09	 Occurrences:3
v) 0.09	 Occurrences:3
ıl 0.09	 Occurrences:3
ze 0.09	 Occurrences:3
jv 0.09	 Occurrences:3
vğ 0.09	 Occurrences:3
ad 0.09	 Occurrences:3
df 0.09	 Occurrences:3
fğ 0.09	 Occurrences:3
rş 0.09	 Occurrences:3
şa 0.09	 Occurrences:3
aş 0.09	 Occurrences:3
mp 0.09	 Occurrences:3
hb 0.09	 Occurrences:3
lu 0.09	 Occurrences:3
,s 0.09	 Occurrences:3
gh 0.09	 Occurrences:3
uç 0.09	 Occurrences:3
ğg 0.09	 Occurrences:3
üh 0.09	 Occurrences:3
hm 0.09	 Occurrences:3
şh 0.09	 Occurrences:3
öz 0.06	 Occurrences:2
hv 0.06	 Occurrences:2
,2 0.06	 Occurrences:2
g( 0.06	 Occurrences:2
ob 0.06	 Occurrences:2
ny 0.06	 Occurrences:2
zf 0.06	 Occurrences:2
b, 0.06	 Occurrences:2
hı 0.06	 Occurrences:2
ıe 0.06	 Occurrences:2
2s 0.06	 Occurrences:2
2c 0.06	 Occurrences:2
em 0.06	 Occurrences:2
öp 0.06	 Occurrences:2
mn 0.06	 Occurrences:2
vf 0.06	 Occurrences:2
pp 0.06	 Occurrences:2
2} 0.06	 Occurrences:2
=2 0.06	 Occurrences:2
br 0.06	 Occurrences:2
tv 0.06	 Occurrences:2
ıç 0.06	 Occurrences:2
gk 0.06	 Occurrences:2
4* 0.06	 Occurrences:2
11 0.06	 Occurrences:2
14 0.06	 Occurrences:2
ys 0.06	 Occurrences:2
sk 0.06	 Occurrences:2
ky 0.06	 Occurrences:2
sş 0.06	 Occurrences:2
şk 0.06	 Occurrences:2
kş 0.06	 Occurrences:2
dk 0.06	 Occurrences:2
kv 0.06	 Occurrences:2
sd 0.06	 Occurrences:2
ıy 0.06	 Occurrences:2
rd 0.06	 Occurrences:2
cl 0.06	 Occurrences:2
zm 0.06	 Occurrences:2
(r 0.06	 Occurrences:2
jç 0.06	 Occurrences:2
ly 0.06	 Occurrences:2
fa 0.06	 Occurrences:2
)2 0.06	 Occurrences:2
}j 0.06	 Occurrences:2
ne 0.06	 Occurrences:2
21 0.06	 Occurrences:2
1} 0.06	 Occurrences:2
c1 0.06	 Occurrences:2
2, 0.06	 Occurrences:2
15 0.06	 Occurrences:2
lğ 0.06	 Occurrences:2
pa 0.06	 Occurrences:2
yt 0.06	 Occurrences:2
hc 0.06	 Occurrences:2
bm 0.06	 Occurrences:2
gr 0.06	 Occurrences:2
e, 0.06	 Occurrences:2
çk 0.06	 Occurrences:2
nğ 0.06	 Occurrences:2
ğr 0.06	 Occurrences:2
re 0.06	 Occurrences:2
öı 0.06	 Occurrences:2
ıd 0.06	 Occurrences:2
dc 0.06	 Occurrences:2
kü 0.06	 Occurrences:2
aç 0.06	 Occurrences:2
c: 0.06	 Occurrences:2
:s 0.06	 Occurrences:2
um 0.06	 Occurrences:2
hl 0.06	 Occurrences:2
gd 0.06	 Occurrences:2
di 0.06	 Occurrences:2
im 0.06	 Occurrences:2
ğl 0.06	 Occurrences:2
fr 0.06	 Occurrences:2
bv 0.03	 Occurrences:1
öç 0.03	 Occurrences:1
l1 0.03	 Occurrences:1
19 0.03	 Occurrences:1
9, 0.03	 Occurrences:1
2p 0.03	 Occurrences:1
23 0.03	 Occurrences:1
3d 0.03	 Occurrences:1
ö3 0.03	 Occurrences:1
3e 0.03	 Occurrences:1
(ç 0.03	 Occurrences:1
nm 0.03	 Occurrences:1
ts 0.03	 Occurrences:1
ac 0.03	 Occurrences:1
jo 0.03	 Occurrences:1
g) 0.03	 Occurrences:1
)t 0.03	 Occurrences:1
g6 0.03	 Occurrences:1
be 0.03	 Occurrences:1
,ç 0.03	 Occurrences:1
4c 0.03	 Occurrences:1
er 0.03	 Occurrences:1
e2 0.03	 Occurrences:1
g2 0.03	 Occurrences:1
ei 0.03	 Occurrences:1
id 0.03	 Occurrences:1
yk 0.03	 Occurrences:1
kn 0.03	 Occurrences:1
gp 0.03	 Occurrences:1
4+ 0.03	 Occurrences:1
+2 0.03	 Occurrences:1
{8 0.03	 Occurrences:1
86 0.03	 Occurrences:1
6} 0.03	 Occurrences:1
}e 0.03	 Occurrences:1
bb 0.03	 Occurrences:1
,e 0.03	 Occurrences:1
b6 0.03	 Occurrences:1
ev 0.03	 Occurrences:1
kr 0.03	 Occurrences:1
rv 0.03	 Occurrences:1
v6 0.03	 Occurrences:1
lm 0.03	 Occurrences:1
*1 0.03	 Occurrences:1
*2 0.03	 Occurrences:1
}s 0.03	 Occurrences:1
(k 0.03	 Occurrences:1
{3 0.03	 Occurrences:1
34 0.03	 Occurrences:1
}y 0.03	 Occurrences:1
s( 0.03	 Occurrences:1
(y 0.03	 Occurrences:1
m) 0.03	 Occurrences:1
)) 0.03	 Occurrences:1
)s 0.03	 Occurrences:1
dW 0.03	 Occurrences:1
Wy 0.03	 Occurrences:1
ch 0.03	 Occurrences:1
ö/ 0.03	 Occurrences:1
/o 0.03	 Occurrences:1
en 0.03	 Occurrences:1
nl 0.03	 Occurrences:1
ğe 0.03	 Occurrences:1
ds 0.03	 Occurrences:1
vs 0.03	 Occurrences:1
h2 0.03	 Occurrences:1
}c 0.03	 Occurrences:1
öo 0.03	 Occurrences:1
tç 0.03	 Occurrences:1
jj 0.03	 Occurrences:1
l( 0.03	 Occurrences:1
)c 0.03	 Occurrences:1
yy 0.03	 Occurrences:1
1c 0.03	 Occurrences:1
d1 0.03	 Occurrences:1
1t 0.03	 Occurrences:1
üj 0.03	 Occurrences:1
e1 0.03	 Occurrences:1
j( 0.03	 Occurrences:1
(a 0.03	 Occurrences:1
}( 0.03	 Occurrences:1
28 0.03	 Occurrences:1
8} 0.03	 Occurrences:1
fd 0.03	 Occurrences:1
bp 0.03	 Occurrences:1
l2 0.03	 Occurrences:1
vu 0.03	 Occurrences:1
uv 0.03	 Occurrences:1
ö2 0.03	 Occurrences:1
,0 0.03	 Occurrences:1
09 0.03	 Occurrences:1
97 0.03	 Occurrences:1
7, 0.03	 Occurrences:1
,1 0.03	 Occurrences:1
52 0.03	 Occurrences:1
2a 0.03	 Occurrences:1
{1 0.03	 Occurrences:1
5} 0.03	 Occurrences:1
=3 0.03	 Occurrences:1
32 0.03	 Occurrences:1
,7 0.03	 Occurrences:1
76 0.03	 Occurrences:1
68 0.03	 Occurrences:1
8m 0.03	 Occurrences:1
ğc 0.03	 Occurrences:1
şs 0.03	 Occurrences:1
fs 0.03	 Occurrences:1
ğj 0.03	 Occurrences:1
ft 0.03	 Occurrences:1
mo 0.03	 Occurrences:1
cp 0.03	 Occurrences:1
c, 0.03	 Occurrences:1
sl 0.03	 Occurrences:1
hs 0.03	 Occurrences:1
c4 0.03	 Occurrences:1
40 0.03	 Occurrences:1
0f 0.03	 Occurrences:1
ğf 0.03	 Occurrences:1
gi 0.03	 Occurrences:1
ib 0.03	 Occurrences:1
gg 0.03	 Occurrences:1
vn 0.03	 Occurrences:1
nv 0.03	 Occurrences:1
vj 0.03	 Occurrences:1
lo 0.03	 Occurrences:1
hr 0.03	 Occurrences:1
1y 0.03	 Occurrences:1
gz 0.03	 Occurrences:1
2k 0.03	 Occurrences:1
g: 0.03	 Occurrences:1
:j 0.03	 Occurrences:1
ha 0.03	 Occurrences:1
lş 0.03	 Occurrences:1
rl 0.03	 Occurrences:1
lı 0.03	 Occurrences:1
g- 0.03	 Occurrences:1
-r 0.03	 Occurrences:1
1b 0.03	 Occurrences:1
at 0.03	 Occurrences:1
nb 0.03	 Occurrences:1
ep 0.03	 Occurrences:1
gş 0.03	 Occurrences:1
çc 0.03	 Occurrences:1
ış 0.03	 Occurrences:1
ğy 0.03	 Occurrences:1
ço 0.03	 Occurrences:1
zs 0.03	 Occurrences:1
yo 0.03	 Occurrences:1
gö 0.03	 Occurrences:1
şd 0.03	 Occurrences:1
gğ 0.03	 Occurrences:1
öö 0.03	 Occurrences:1
şj 0.03	 Occurrences:1
lp 0.03	 Occurrences:1
gü 0.03	 Occurrences:1
ök 0.03	 Occurrences:1
zğ 0.03	 Occurrences:1
üg 0.03	 Occurrences:1
tş 0.03	 Occurrences:1
şu 0.03	 Occurrences:1
uş 0.03	 Occurrences:1
f1 0.03	 Occurrences:1
1- 0.03	 Occurrences:1
-4 0.03	 Occurrences:1
4k 0.03	 Occurrences:1
çj 0.03	 Occurrences:1
hş 0.03	 Occurrences:1
ed 0.03	 Occurrences:1
bt 0.03	 Occurrences:1
tt 0.03	 Occurrences:1
bs 0.03	 Occurrences:1
hj 0.03	 Occurrences:1
