Frequency ratio for engciphertext 4 grams:
izxv 1.3	 Occurrences:35
cdsh 0.11	 Occurrences:3
hcde 0.11	 Occurrences:3
cdec 0.11	 Occurrences:3
bcdn 0.11	 Occurrences:3
yvnz 0.11	 Occurrences:3
aycd 0.11	 Occurrences:3
unxc 0.11	 Occurrences:3
hniz 0.11	 Occurrences:3
ttxe 0.11	 Occurrences:3
nzhj 0.11	 Occurrences:3
zset 0.11	 Occurrences:3
sett 0.11	 Occurrences:3
nsnb 0.11	 Occurrences:3
lobo 0.11	 Occurrences:3
oboc 0.11	 Occurrences:3
bocn 0.11	 Occurrences:3
ocnv 0.11	 Occurrences:3
cnvy 0.11	 Occurrences:3
nvyh 0.11	 Occurrences:3
vyhh 0.11	 Occurrences:3
yhho 0.11	 Occurrences:3
hhoa 0.11	 Occurrences:3
hoat 0.11	 Occurrences:3
nvte 0.11	 Occurrences:3
unxh 0.11	 Occurrences:3
hebr 0.11	 Occurrences:3
ybet 0.11	 Occurrences:3
hezn 0.11	 Occurrences:3
xebr 0.11	 Occurrences:3
coin 0.11	 Occurrences:3
cdyp 0.11	 Occurrences:3
dypc 0.11	 Occurrences:3
bjoc 0.11	 Occurrences:3
lyzn 0.11	 Occurrences:3
nphn 0.11	 Occurrences:3
oiet 0.11	 Occurrences:3
ybyz 0.11	 Occurrences:3
oiec 0.11	 Occurrences:3
ieco 0.11	 Occurrences:3
yliz 0.11	 Occurrences:3
lizx 0.11	 Occurrences:3
dnhn 0.11	 Occurrences:3
hphn 0.11	 Occurrences:3
vceb 0.11	 Occurrences:3
cdeb 0.11	 Occurrences:3
nzet 0.11	 Occurrences:3
nhcd 0.11	 Occurrences:3
xyli 0.11	 Occurrences:3
cdnc 0.11	 Occurrences:3
dncn 0.11	 Occurrences:3
ncnz 0.11	 Occurrences:3
cnzs 0.11	 Occurrences:3
obiz 0.11	 Occurrences:3
oybh 0.11	 Occurrences:3
ccnz 0.11	 Occurrences:3
dnhc 0.11	 Occurrences:3
nhcp 0.11	 Occurrences:3
hysn 0.11	 Occurrences:3
ebri 0.11	 Occurrences:3
briz 0.11	 Occurrences:3
yznl 0.11	 Occurrences:3
cosn 0.07	 Occurrences:2
osnh 0.07	 Occurrences:2
syhc 0.07	 Occurrences:2
xcyn 0.07	 Occurrences:2
bjdo 0.07	 Occurrences:2
oido 0.07	 Occurrences:2
idoh 0.07	 Occurrences:2
dohc 0.07	 Occurrences:2
nvzy 0.07	 Occurrences:2
vzyi 0.07	 Occurrences:2
zyin 0.07	 Occurrences:2
inhh 0.07	 Occurrences:2
hyli 0.07	 Occurrences:2
yliy 0.07	 Occurrences:2
robe 0.07	 Occurrences:2
obly 0.07	 Occurrences:2
blyz 0.07	 Occurrences:2
zsec 0.07	 Occurrences:2
seco 0.07	 Occurrences:2
(iet 0.07	 Occurrences:2
nqc) 0.07	 Occurrences:2
pbob 0.07	 Occurrences:2
bobc 0.07	 Occurrences:2
bcnt 0.07	 Occurrences:2
cntt 0.07	 Occurrences:2
ntto 0.07	 Occurrences:2
ttok 0.07	 Occurrences:2
toko 0.07	 Occurrences:2
okoa 0.07	 Occurrences:2
koat 0.07	 Occurrences:2
atnc 0.07	 Occurrences:2
nqc( 0.07	 Occurrences:2
tnri 0.07	 Occurrences:2
nznf 0.07	 Occurrences:2
obkl 0.07	 Occurrences:2
cdnp 0.07	 Occurrences:2
atni 0.07	 Occurrences:2
eiov 0.07	 Occurrences:2
ixvd 0.07	 Occurrences:2
xvdn 0.07	 Occurrences:2
)ohe 0.07	 Occurrences:2
shcd 0.07	 Occurrences:2
cdnn 0.07	 Occurrences:2
dnnb 0.07	 Occurrences:2
nnbi 0.07	 Occurrences:2
ybeb 0.07	 Occurrences:2
bebr 0.07	 Occurrences:2
ebrc 0.07	 Occurrences:2
brcd 0.07	 Occurrences:2
rcdn 0.07	 Occurrences:2
vnze 0.07	 Occurrences:2
nzec 0.07	 Occurrences:2
zeco 0.07	 Occurrences:2
nzoh 0.07	 Occurrences:2
xcdn 0.07	 Occurrences:2
ebro 0.07	 Occurrences:2
brob 0.07	 Occurrences:2
neid 0.07	 Occurrences:2
ebin 0.07	 Occurrences:2
ohoh 0.07	 Occurrences:2
nizn 0.07	 Occurrences:2
iznc 0.07	 Occurrences:2
ubyj 0.07	 Occurrences:2
ybtx 0.07	 Occurrences:2
btxc 0.07	 Occurrences:2
xcyc 0.07	 Occurrences:2
dniy 0.07	 Occurrences:2
niys 0.07	 Occurrences:2
iyss 0.07	 Occurrences:2
yssp 0.07	 Occurrences:2
sspb 0.07	 Occurrences:2
spbo 0.07	 Occurrences:2
pboi 0.07	 Occurrences:2
boie 0.07	 Occurrences:2
oieb 0.07	 Occurrences:2
hdyz 0.07	 Occurrences:2
dyzc 0.07	 Occurrences:2
bkyl 0.07	 Occurrences:2
ylid 0.07	 Occurrences:2
lide 0.07	 Occurrences:2
idez 0.07	 Occurrences:2
deze 0.07	 Occurrences:2
ezei 0.07	 Occurrences:2
eicn 0.07	 Occurrences:2
icnz 0.07	 Occurrences:2
cnzh 0.07	 Occurrences:2
hjdo 0.07	 Occurrences:2
rcyr 0.07	 Occurrences:2
cyrn 0.07	 Occurrences:2
yrni 0.07	 Occurrences:2
dnio 0.07	 Occurrences:2
vcyh 0.07	 Occurrences:2
cyhx 0.07	 Occurrences:2
yhxh 0.07	 Occurrences:2
yzrn 0.07	 Occurrences:2
ohcy 0.07	 Occurrences:2
tnsn 0.07	 Occurrences:2
nqch 0.07	 Occurrences:2
qchl 0.07	 Occurrences:2
chlo 0.07	 Occurrences:2
hlob 0.07	 Occurrences:2
atnu 0.07	 Occurrences:2
tnun 0.07	 Occurrences:2
nxhe 0.07	 Occurrences:2
ebrr 0.07	 Occurrences:2
brrn 0.07	 Occurrences:2
rrni 0.07	 Occurrences:2
betk 0.07	 Occurrences:2
oidi 0.07	 Occurrences:2
znhv 0.07	 Occurrences:2
rcyn 0.07	 Occurrences:2
etvz 0.07	 Occurrences:2
cdnu 0.07	 Occurrences:2
nylc 0.07	 Occurrences:2
nzph 0.07	 Occurrences:2
zphn 0.07	 Occurrences:2
eznc 0.07	 Occurrences:2
zncd 0.07	 Occurrences:2
nfnb 0.07	 Occurrences:2
bcnz 0.07	 Occurrences:2
hnhd 0.07	 Occurrences:2
hdoh 0.07	 Occurrences:2
zoie 0.07	 Occurrences:2
ylcn 0.07	 Occurrences:2
lcnb 0.07	 Occurrences:2
cnbp 0.07	 Occurrences:2
nbph 0.07	 Occurrences:2
bphn 0.07	 Occurrences:2
txly 0.07	 Occurrences:2
xlyz 0.07	 Occurrences:2
ybjo 0.07	 Occurrences:2
ypce 0.07	 Occurrences:2
hpid 0.07	 Occurrences:2
dehe 0.07	 Occurrences:2
coie 0.07	 Occurrences:2
zocx 0.07	 Occurrences:2
obhx 0.07	 Occurrences:2
bhxs 0.07	 Occurrences:2
hnrc 0.07	 Occurrences:2
vces 0.07	 Occurrences:2
cesn 0.07	 Occurrences:2
esnh 0.07	 Occurrences:2
snhh 0.07	 Occurrences:2
nhhe 0.07	 Occurrences:2
hhek 0.07	 Occurrences:2
hekn 0.07	 Occurrences:2
rece 0.07	 Occurrences:2
ybob 0.07	 Occurrences:2
knbn 0.07	 Occurrences:2
nbnz 0.07	 Occurrences:2
bnze 0.07	 Occurrences:2
zett 0.07	 Occurrences:2
bkcd 0.07	 Occurrences:2
nxcy 0.07	 Occurrences:2
nebr 0.07	 Occurrences:2
hnip 0.07	 Occurrences:2
nipz 0.07	 Occurrences:2
phnc 0.07	 Occurrences:2
hncd 0.07	 Occurrences:2
ysne 0.07	 Occurrences:2
sncd 0.07	 Occurrences:2
ncdy 0.07	 Occurrences:2
cdyr 0.07	 Occurrences:2
ylnb 0.07	 Occurrences:2
lnbi 0.07	 Occurrences:2
nbcy 0.07	 Occurrences:2
bcyl 0.07	 Occurrences:2
ylsn 0.07	 Occurrences:2
yznh 0.07	 Occurrences:2
hvni 0.07	 Occurrences:2
vnio 0.07	 Occurrences:2
niol 0.07	 Occurrences:2
iolo 0.07	 Occurrences:2
oloi 0.07	 Occurrences:2
znvt 0.07	 Occurrences:2
vtei 0.07	 Occurrences:2
tein 0.07	 Occurrences:2
pboc 0.07	 Occurrences:2
svtn 0.07	 Occurrences:2
yrnh 0.07	 Occurrences:2
rnhe 0.07	 Occurrences:2
hnro 0.07	 Occurrences:2
nbce 0.07	 Occurrences:2
hpbo 0.07	 Occurrences:2
beco 0.07	 Occurrences:2
zyvn 0.07	 Occurrences:2
yfnz 0.07	 Occurrences:2
hobi 0.07	 Occurrences:2
nzhe 0.07	 Occurrences:2
ezna 0.07	 Occurrences:2
ncde 0.07	 Occurrences:2
nheb 0.07	 Occurrences:2
nccn 0.07	 Occurrences:2
vcnr 0.07	 Occurrences:2
cebe 0.07	 Occurrences:2
ebet 0.07	 Occurrences:2
betx 0.07	 Occurrences:2
etxh 0.07	 Occurrences:2
txho 0.07	 Occurrences:2
xhoh 0.07	 Occurrences:2
yzcd 0.07	 Occurrences:2
zcdn 0.07	 Occurrences:2
zngp 0.07	 Occurrences:2
vdxe 0.07	 Occurrences:2
dxeb 0.07	 Occurrences:2
cnzi 0.07	 Occurrences:2
nbkt 0.07	 Occurrences:2
bkto 0.07	 Occurrences:2
ktoh 0.07	 Occurrences:2
tohd 0.07	 Occurrences:2
obit 0.07	 Occurrences:2
bitp 0.07	 Occurrences:2
itpr 0.07	 Occurrences:2
obkp 0.07	 Occurrences:2
xcyz 0.07	 Occurrences:2
cyzn 0.07	 Occurrences:2
iysa 0.07	 Occurrences:2
ysao 0.07	 Occurrences:2
saob 0.07	 Occurrences:2
tebk 0.07	 Occurrences:2
ebkp 0.07	 Occurrences:2
bkpe 0.07	 Occurrences:2
kpek 0.07	 Occurrences:2
pekn 0.07	 Occurrences:2
eknh 0.07	 Occurrences:2
nhob 0.07	 Occurrences:2
ykx( 0.07	 Occurrences:2
ohco 0.07	 Occurrences:2
hcoi 0.07	 Occurrences:2
coih 0.07	 Occurrences:2
pbco 0.04	 Occurrences:1
bcot 0.04	 Occurrences:1
cots 0.04	 Occurrences:1
otsy 0.04	 Occurrences:1
tsyr 0.04	 Occurrences:1
syrn 0.04	 Occurrences:1
yrnz 0.04	 Occurrences:1
rnzb 0.04	 Occurrences:1
nzbc 0.04	 Occurrences:1
zbco 0.04	 Occurrences:1
bcos 0.04	 Occurrences:1
snhi 0.04	 Occurrences:1
nhiz 0.04	 Occurrences:1
vdxz 0.04	 Occurrences:1
dxzn 0.04	 Occurrences:1
xznl 0.04	 Occurrences:1
lnzz 0.04	 Occurrences:1
nzzn 0.04	 Occurrences:1
zznr 0.04	 Occurrences:1
znre 0.04	 Occurrences:1
nret 0.04	 Occurrences:1
rets 0.04	 Occurrences:1
etsy 0.04	 Occurrences:1
tsyh 0.04	 Occurrences:1
yhcn 0.04	 Occurrences:1
hcnq 0.04	 Occurrences:1
cnqi 0.04	 Occurrences:1
nqit 0.04	 Occurrences:1
qitp 0.04	 Occurrences:1
itph 0.04	 Occurrences:1
tpho 0.04	 Occurrences:1
phof 0.04	 Occurrences:1
hofn 0.04	 Occurrences:1
ofnt 0.04	 Occurrences:1
fntx 0.04	 Occurrences:1
ntxc 0.04	 Occurrences:1
ybjd 0.04	 Occurrences:1
cdnv 0.04	 Occurrences:1
dnvz 0.04	 Occurrences:1
yinh 0.04	 Occurrences:1
nhhy 0.04	 Occurrences:1
hhyl 0.04	 Occurrences:1
liyb 0.04	 Occurrences:1
iybf 0.04	 Occurrences:1
ybfn 0.04	 Occurrences:1
bfnz 0.04	 Occurrences:1
fnzc 0.04	 Occurrences:1
nzco 0.04	 Occurrences:1
zcob 0.04	 Occurrences:1
cobk 0.04	 Occurrences:1
bkyz 0.04	 Occurrences:1
kyzr 0.04	 Occurrences:1
yzro 0.04	 Occurrences:1
zrob 0.04	 Occurrences:1
obez 0.04	 Occurrences:1
bezx 0.04	 Occurrences:1
ezxo 0.04	 Occurrences:1
zxob 0.04	 Occurrences:1
xobl 0.04	 Occurrences:1
oyb( 0.04	 Occurrences:1
yb(i 0.04	 Occurrences:1
b(ie 0.04	 Occurrences:1
tnrv 0.04	 Occurrences:1
nrvt 0.04	 Occurrences:1
rvte 0.04	 Occurrences:1
qc)o 0.04	 Occurrences:1
c)ob 0.04	 Occurrences:1
)obc 0.04	 Occurrences:1
obcy 0.04	 Occurrences:1
bcyp 0.04	 Occurrences:1
cypb 0.04	 Occurrences:1
ypbo 0.04	 Occurrences:1
tncn 0.04	 Occurrences:1
ncnq 0.04	 Occurrences:1
qc(i 0.04	 Occurrences:1
c(ie 0.04	 Occurrences:1
nrio 0.04	 Occurrences:1
riov 0.04	 Occurrences:1
qc)r 0.04	 Occurrences:1
c)rn 0.04	 Occurrences:1
)rni 0.04	 Occurrences:1
yboh 0.04	 Occurrences:1
bohc 0.04	 Occurrences:1
nzhn 0.04	 Occurrences:1
zhno 0.04	 Occurrences:1
hnob 0.04	 Occurrences:1
noby 0.04	 Occurrences:1
obyc 0.04	 Occurrences:1
bycd 0.04	 Occurrences:1
dnzj 0.04	 Occurrences:1
nzjy 0.04	 Occurrences:1
zjyz 0.04	 Occurrences:1
yzrh 0.04	 Occurrences:1
zrhs 0.04	 Occurrences:1
rhsy 0.04	 Occurrences:1
hsyf 0.04	 Occurrences:1
syfo 0.04	 Occurrences:1
yfob 0.04	 Occurrences:1
fobk 0.04	 Occurrences:1
bklz 0.04	 Occurrences:1
klzy 0.04	 Occurrences:1
lzys 0.04	 Occurrences:1
zysc 0.04	 Occurrences:1
yscd 0.04	 Occurrences:1
scdn 0.04	 Occurrences:1
dnpb 0.04	 Occurrences:1
npbo 0.04	 Occurrences:1
tnio 0.04	 Occurrences:1
nqca 0.04	 Occurrences:1
qcae 0.04	 Occurrences:1
caei 0.04	 Occurrences:1
aeiu 0.04	 Occurrences:1
eiuc 0.04	 Occurrences:1
iucy 0.04	 Occurrences:1
ucyv 0.04	 Occurrences:1
cyvt 0.04	 Occurrences:1
yvte 0.04	 Occurrences:1
nqce 0.04	 Occurrences:1
qcei 0.04	 Occurrences:1
ceio 0.04	 Occurrences:1
dnz( 0.04	 Occurrences:1
nz(y 0.04	 Occurrences:1
z(yz 0.04	 Occurrences:1
(yzi 0.04	 Occurrences:1
yzix 0.04	 Occurrences:1
zixv 0.04	 Occurrences:1
dnz) 0.04	 Occurrences:1
nz)o 0.04	 Occurrences:1
z)oh 0.04	 Occurrences:1
ohev 0.04	 Occurrences:1
heve 0.04	 Occurrences:1
eveo 0.04	 Occurrences:1
veoz 0.04	 Occurrences:1
eozy 0.04	 Occurrences:1
ozyl 0.04	 Occurrences:1
zyle 0.04	 Occurrences:1
ylet 0.04	 Occurrences:1
letk 0.04	 Occurrences:1
dshc 0.04	 Occurrences:1
deci 0.04	 Occurrences:1
eciz 0.04	 Occurrences:1
cizn 0.04	 Occurrences:1
izne 0.04	 Occurrences:1
znec 0.04	 Occurrences:1
necn 0.04	 Occurrences:1
ecnc 0.04	 Occurrences:1
cncd 0.04	 Occurrences:1
nzho 0.04	 Occurrences:1
zhob 0.04	 Occurrences:1
hobk 0.04	 Occurrences:1
obkr 0.04	 Occurrences:1
bkrn 0.04	 Occurrences:1
krni 0.04	 Occurrences:1
oybc 0.04	 Occurrences:1
ybcd 0.04	 Occurrences:1
cdnr 0.04	 Occurrences:1
dnrn 0.04	 Occurrences:1
nrnc 0.04	 Occurrences:1
rnce 0.04	 Occurrences:1
nceo 0.04	 Occurrences:1
ceot 0.04	 Occurrences:1
eotn 0.04	 Occurrences:1
otnr 0.04	 Occurrences:1
tnry 0.04	 Occurrences:1
nryv 0.04	 Occurrences:1
ryvn 0.04	 Occurrences:1
ybyl 0.04	 Occurrences:1
byle 0.04	 Occurrences:1
ylei 0.04	 Occurrences:1
leio 0.04	 Occurrences:1
dnzo 0.04	 Occurrences:1
zohi 0.04	 Occurrences:1
ohiy 0.04	 Occurrences:1
hiyb 0.04	 Occurrences:1
iybc 0.04	 Occurrences:1
ybcz 0.04	 Occurrences:1
bczy 0.04	 Occurrences:1
czyt 0.04	 Occurrences:1
zytt 0.04	 Occurrences:1
yttn 0.04	 Occurrences:1
tnra 0.04	 Occurrences:1
nray 0.04	 Occurrences:1
rayc 0.04	 Occurrences:1
ycda 0.04	 Occurrences:1
cdax 0.04	 Occurrences:1
daxc 0.04	 Occurrences:1
axcd 0.04	 Occurrences:1
cdne 0.04	 Occurrences:1
dnet 0.04	 Occurrences:1
netk 0.04	 Occurrences:1
cdse 0.04	 Occurrences:1
dseb 0.04	 Occurrences:1
sebr 0.04	 Occurrences:1
robn 0.04	 Occurrences:1
obne 0.04	 Occurrences:1
bnei 0.04	 Occurrences:1
eido 0.04	 Occurrences:1
idob 0.04	 Occurrences:1
dobh 0.04	 Occurrences:1
obhc 0.04	 Occurrences:1
bhce 0.04	 Occurrences:1
hceb 0.04	 Occurrences:1
cebi 0.04	 Occurrences:1
bina 0.04	 Occurrences:1
inax 0.04	 Occurrences:1
naxe 0.04	 Occurrences:1
axeu 0.04	 Occurrences:1
xeun 0.04	 Occurrences:1
eunx 0.04	 Occurrences:1
nxcd 0.04	 Occurrences:1
xcdo 0.04	 Occurrences:1
cdoh 0.04	 Occurrences:1
doho 0.04	 Occurrences:1
hohe 0.04	 Occurrences:1
oheh 0.04	 Occurrences:1
hehn 0.04	 Occurrences:1
ehni 0.04	 Occurrences:1
znc( 0.04	 Occurrences:1
nc(o 0.04	 Occurrences:1
c(or 0.04	 Occurrences:1
(orn 0.04	 Occurrences:1
orne 0.04	 Occurrences:1
rnet 0.04	 Occurrences:1
nett 0.04	 Occurrences:1
ttxu 0.04	 Occurrences:1
txub 0.04	 Occurrences:1
xuby 0.04	 Occurrences:1
byjb 0.04	 Occurrences:1
yjby 0.04	 Occurrences:1
jbyb 0.04	 Occurrences:1
bybt 0.04	 Occurrences:1
iebc 0.04	 Occurrences:1
ebch 0.04	 Occurrences:1
bch) 0.04	 Occurrences:1
ch)p 0.04	 Occurrences:1
h)ph 0.04	 Occurrences:1
)php 0.04	 Occurrences:1
phpe 0.04	 Occurrences:1
hpet 0.04	 Occurrences:1
pett 0.04	 Occurrences:1
txeh 0.04	 Occurrences:1
xehd 0.04	 Occurrences:1
ehdy 0.04	 Occurrences:1
yzch 0.04	 Occurrences:1
zchc 0.04	 Occurrences:1
chcz 0.04	 Occurrences:1
hczo 0.04	 Occurrences:1
czob 0.04	 Occurrences:1
zobk 0.04	 Occurrences:1
kyli 0.04	 Occurrences:1
zhjd 0.04	 Occurrences:1
dohb 0.04	 Occurrences:1
ohbn 0.04	 Occurrences:1
hbnn 0.04	 Occurrences:1
bnnr 0.04	 Occurrences:1
nnrn 0.04	 Occurrences:1
nrnr 0.04	 Occurrences:1
rnrc 0.04	 Occurrences:1
xvcc 0.04	 Occurrences:1
vccd 0.04	 Occurrences:1
ccdn 0.04	 Occurrences:1
nqcl 0.04	 Occurrences:1
qcly 0.04	 Occurrences:1
clyz 0.04	 Occurrences:1
txei 0.04	 Occurrences:1
xeiz 0.04	 Occurrences:1
eizx 0.04	 Occurrences:1
cnso 0.04	 Occurrences:1
nsoh 0.04	 Occurrences:1
sohc 0.04	 Occurrences:1
cdny 0.04	 Occurrences:1
dnyz 0.04	 Occurrences:1
nyzr 0.04	 Occurrences:1
zrnz 0.04	 Occurrences:1
rnzn 0.04	 Occurrences:1
nznr 0.04	 Occurrences:1
znrt 0.04	 Occurrences:1
nrto 0.04	 Occurrences:1
rtoh 0.04	 Occurrences:1
tohc 0.04	 Occurrences:1
hcyl 0.04	 Occurrences:1
cyln 0.04	 Occurrences:1
ylnt 0.04	 Occurrences:1
lntn 0.04	 Occurrences:1
ntns 0.04	 Occurrences:1
nbch 0.04	 Occurrences:1
bchy 0.04	 Occurrences:1
chyl 0.04	 Occurrences:1
hyll 0.04	 Occurrences:1
yllo 0.04	 Occurrences:1
llob 0.04	 Occurrences:1
atnv 0.04	 Occurrences:1
tnvt 0.04	 Occurrences:1
tnix 0.04	 Occurrences:1
nixv 0.04	 Occurrences:1
xheb 0.04	 Occurrences:1
dshj 0.04	 Occurrences:1
shjd 0.04	 Occurrences:1
idiy 0.04	 Occurrences:1
diyz 0.04	 Occurrences:1
iyzz 0.04	 Occurrences:1
yzzn 0.04	 Occurrences:1
zznh 0.04	 Occurrences:1
nhvy 0.04	 Occurrences:1
hvyb 0.04	 Occurrences:1
vybr 0.04	 Occurrences:1
ybrc 0.04	 Occurrences:1
brcy 0.04	 Occurrences:1
cyne 0.04	 Occurrences:1
ynei 0.04	 Occurrences:1
eidu 0.04	 Occurrences:1
idun 0.04	 Occurrences:1
dunx 0.04	 Occurrences:1
unxu 0.04	 Occurrences:1
nxun 0.04	 Occurrences:1
xunx 0.04	 Occurrences:1
xhez 0.04	 Occurrences:1
ezno 0.04	 Occurrences:1
znos 0.04	 Occurrences:1
nosv 0.04	 Occurrences:1
osvy 0.04	 Occurrences:1
svyz 0.04	 Occurrences:1
vyzc 0.04	 Occurrences:1
yzce 0.04	 Occurrences:1
zceb 0.04	 Occurrences:1
cebc 0.04	 Occurrences:1
ebca 0.04	 Occurrences:1
bcay 0.04	 Occurrences:1
cayc 0.04	 Occurrences:1
ycdl 0.04	 Occurrences:1
cdly 0.04	 Occurrences:1
dlyz 0.04	 Occurrences:1
txeb 0.04	 Occurrences:1
obei 0.04	 Occurrences:1
beic 0.04	 Occurrences:1
eicp 0.04	 Occurrences:1
icpe 0.04	 Occurrences:1
cpet 0.04	 Occurrences:1
petv 0.04	 Occurrences:1
tvze 0.04	 Occurrences:1
oine 0.04	 Occurrences:1
ineh 0.04	 Occurrences:1
nehi 0.04	 Occurrences:1
ehio 0.04	 Occurrences:1
hiov 0.04	 Occurrences:1
zhjo 0.04	 Occurrences:1
hjoc 0.04	 Occurrences:1
ypcf 0.04	 Occurrences:1
pcfe 0.04	 Occurrences:1
cfez 0.04	 Occurrences:1
fezo 0.04	 Occurrences:1
ezoe 0.04	 Occurrences:1
zoea 0.04	 Occurrences:1
oeat 0.04	 Occurrences:1
eatn 0.04	 Occurrences:1
nxhi 0.04	 Occurrences:1
xhie 0.04	 Occurrences:1
hieb 0.04	 Occurrences:1
ieba 0.04	 Occurrences:1
eban 0.04	 Occurrences:1
banc 0.04	 Occurrences:1
ancz 0.04	 Occurrences:1
czof 0.04	 Occurrences:1
zofo 0.04	 Occurrences:1
ofoe 0.04	 Occurrences:1
foet 0.04	 Occurrences:1
oett 0.04	 Occurrences:1
ttxa 0.04	 Occurrences:1
txaz 0.04	 Occurrences:1
xazy 0.04	 Occurrences:1
azyu 0.04	 Occurrences:1
zyun 0.04	 Occurrences:1
yunb 0.04	 Occurrences:1
unbj 0.04	 Occurrences:1
nbjo 0.04	 Occurrences:1
cdyb 0.04	 Occurrences:1
dybt 0.04	 Occurrences:1
txcd 0.04	 Occurrences:1
dnub 0.04	 Occurrences:1
nuby 0.04	 Occurrences:1
byjt 0.04	 Occurrences:1
yjtn 0.04	 Occurrences:1
jtnr 0.04	 Occurrences:1
tnrk 0.04	 Occurrences:1
nrkn 0.04	 Occurrences:1
rkny 0.04	 Occurrences:1
knyl 0.04	 Occurrences:1
ylcd 0.04	 Occurrences:1
lcdn 0.04	 Occurrences:1
dnzp 0.04	 Occurrences:1
hnre 0.04	 Occurrences:1
nreb 0.04	 Occurrences:1
rebr 0.04	 Occurrences:1
brez 0.04	 Occurrences:1
rezn 0.04	 Occurrences:1
nznl 0.04	 Occurrences:1
znly 0.04	 Occurrences:1
nlyz 0.04	 Occurrences:1
yznp 0.04	 Occurrences:1
znph 0.04	 Occurrences:1
phnt 0.04	 Occurrences:1
hntn 0.04	 Occurrences:1
ntnh 0.04	 Occurrences:1
tnhh 0.04	 Occurrences:1
